Store,Dept,Date,IsHoliday,WeekNum,Weekly_Sales
1,1,1/4/2013,FALSE,1,16494.75875
1,1,1/11/2013,FALSE,2,16952.5625
1,1,1/18/2013,FALSE,3,18237.14625
1,1,1/25/2013,FALSE,4,18388.5375
1,1,2/1/2013,FALSE,5,22962.91381
1,1,2/15/2013,FALSE,7,51061.80667
1,1,2/22/2013,FALSE,8,19836.43857
1,1,3/1/2013,FALSE,9,20266.21714
1,1,3/8/2013,FALSE,10,21182.24286
1,1,3/15/2013,FALSE,11,21678.36619
1,1,3/22/2013,FALSE,12,21895.09571
1,1,3/29/2013,FALSE,13,27449.15429
1,1,4/5/2013,FALSE,14,45655.95238
1,1,4/12/2013,FALSE,15,31896.58476
1,1,4/19/2013,FALSE,16,28114.66619
1,1,4/26/2013,FALSE,17,24745.74476
1,1,5/3/2013,FALSE,18,18157.04714
1,1,5/10/2013,FALSE,19,17890.8281
1,1,5/17/2013,FALSE,20,17212.46524
1,1,5/24/2013,FALSE,21,16490.37048
1,1,5/31/2013,FALSE,22,16259.45286
1,1,6/7/2013,FALSE,23,17022.86952
1,1,6/14/2013,FALSE,24,16634.64571
1,1,6/21/2013,FALSE,25,16302.03429
1,1,6/28/2013,FALSE,26,15632.10952
1,1,7/5/2013,FALSE,27,17258.79333
1,1,7/12/2013,FALSE,28,16290.24429
1,1,7/19/2013,FALSE,29,16107.21095
1,1,7/26/2013,FALSE,30,15778.28714
1,1,11/2/2012,FALSE,44,39180.1625
1,1,11/9/2012,FALSE,45,18797.02125
1,1,11/16/2012,FALSE,46,19113.4325
1,1,11/30/2012,FALSE,48,24946.49875
1,1,12/7/2012,FALSE,49,33079.88625
1,1,12/14/2012,FALSE,50,45665.50875
1,1,12/21/2012,FALSE,51,47931.56
1,1,12/28/2012,TRUE,52,22822.5925
1,1,2/8/2013,TRUE,6,37719.05
1,1,11/23/2012,TRUE,47,20649.88
1,2,1/4/2013,FALSE,1,44321.49375
1,2,1/11/2013,FALSE,2,42916.12875
1,2,1/18/2013,FALSE,3,43483.875
1,2,1/25/2013,FALSE,4,41568.0775
1,2,2/1/2013,FALSE,5,51647.53476
1,2,2/15/2013,FALSE,7,47212.11524
1,2,2/22/2013,FALSE,8,46642.43714
1,2,3/1/2013,FALSE,9,52550.3519
1,2,3/8/2013,FALSE,10,48301.90238
1,2,3/15/2013,FALSE,11,46460.65476
1,2,3/22/2013,FALSE,12,44490.27238
1,2,3/29/2013,FALSE,13,46727.49524
1,2,4/5/2013,FALSE,14,50454.22381
1,2,4/12/2013,FALSE,15,44198.26381
1,2,4/19/2013,FALSE,16,45834.95619
1,2,4/26/2013,FALSE,17,44889.48381
1,2,5/3/2013,FALSE,18,50257.1119
1,2,5/10/2013,FALSE,19,45758.35905
1,2,5/17/2013,FALSE,20,44370.4719
1,2,5/24/2013,FALSE,21,45511.72381
1,2,5/31/2013,FALSE,22,47628.24429
1,2,6/7/2013,FALSE,23,48302.45667
1,2,6/14/2013,FALSE,24,45299.68381
1,2,6/21/2013,FALSE,25,44818.36143
1,2,6/28/2013,FALSE,26,46809.0819
1,2,7/5/2013,FALSE,27,47911.89
1,2,7/12/2013,FALSE,28,44024.82238
1,2,7/19/2013,FALSE,29,45093.57667
1,2,7/26/2013,FALSE,30,44441.79857
1,2,11/2/2012,FALSE,44,47197.09625
1,2,11/9/2012,FALSE,45,44718.7225
1,2,11/16/2012,FALSE,46,43678.46375
1,2,11/30/2012,FALSE,48,45737.75
1,2,12/7/2012,FALSE,49,49057.22875
1,2,12/14/2012,FALSE,50,50908.1525
1,2,12/21/2012,FALSE,51,64899.605
1,2,12/28/2012,TRUE,52,42574.92625
1,2,2/8/2013,TRUE,6,49304.95095
1,2,11/23/2012,TRUE,47,44437.38875
1,3,1/4/2013,FALSE,1,14161.30375
1,3,1/11/2013,FALSE,2,13754.1625
1,3,1/18/2013,FALSE,3,11805.9375
1,3,1/25/2013,FALSE,4,10784.44125
1,3,2/1/2013,FALSE,5,12054.42381
1,3,2/15/2013,FALSE,7,10794.73667
1,3,2/22/2013,FALSE,8,10522.9919
1,3,3/1/2013,FALSE,9,11313.54524
1,3,3/8/2013,FALSE,10,11427.97476
1,3,3/15/2013,FALSE,11,8620.794762
1,3,3/22/2013,FALSE,12,8406.802381
1,3,3/29/2013,FALSE,13,9094.114286
1,3,4/5/2013,FALSE,14,9736.129524
1,3,4/12/2013,FALSE,15,8084.670476
1,3,4/19/2013,FALSE,16,8598.364286
1,3,4/26/2013,FALSE,17,8675.04
1,3,5/3/2013,FALSE,18,10516.13286
1,3,5/10/2013,FALSE,19,9690.592381
