Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2/5/2010,42.31,2.572,NA,NA,NA,NA,NA,211.0963582,8.106,FALSE
1,2/12/2010,38.51,2.548,NA,NA,NA,NA,NA,211.2421698,8.106,TRUE
1,2/19/2010,39.93,2.514,NA,NA,NA,NA,NA,211.2891429,8.106,FALSE
1,2/26/2010,46.63,2.561,NA,NA,NA,NA,NA,211.3196429,8.106,FALSE
1,3/5/2010,46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,FALSE
1,3/12/2010,57.79,2.667,NA,NA,NA,NA,NA,211.3806429,8.106,FALSE
1,3/19/2010,54.58,2.72,NA,NA,NA,NA,NA,211.215635,8.106,FALSE
1,3/26/2010,51.45,2.732,NA,NA,NA,NA,NA,211.0180424,8.106,FALSE
1,4/2/2010,62.27,2.719,NA,NA,NA,NA,NA,210.8204499,7.808,FALSE
1,4/9/2010,65.86,2.77,NA,NA,NA,NA,NA,210.6228574,7.808,FALSE
1,4/16/2010,66.32,2.808,NA,NA,NA,NA,NA,210.4887,7.808,FALSE
1,4/23/2010,64.84,2.795,NA,NA,NA,NA,NA,210.4391228,7.808,FALSE
1,4/30/2010,67.41,2.78,NA,NA,NA,NA,NA,210.3895456,7.808,FALSE
1,5/7/2010,72.55,2.835,NA,NA,NA,NA,NA,210.3399684,7.808,FALSE
1,5/14/2010,74.78,2.854,NA,NA,NA,NA,NA,210.3374261,7.808,FALSE
1,5/21/2010,76.44,2.826,NA,NA,NA,NA,NA,210.6170934,7.808,FALSE
1,5/28/2010,80.44,2.759,NA,NA,NA,NA,NA,210.8967606,7.808,FALSE
1,6/4/2010,80.69,2.705,NA,NA,NA,NA,NA,211.1764278,7.808,FALSE
1,6/11/2010,80.43,2.668,NA,NA,NA,NA,NA,211.4560951,7.808,FALSE
1,6/18/2010,84.11,2.637,NA,NA,NA,NA,NA,211.4537719,7.808,FALSE
1,6/25/2010,84.34,2.653,NA,NA,NA,NA,NA,211.3386526,7.808,FALSE
1,7/2/2010,80.91,2.669,NA,NA,NA,NA,NA,211.2235333,7.787,FALSE
1,7/9/2010,80.48,2.642,NA,NA,NA,NA,NA,211.108414,7.787,FALSE
1,7/16/2010,83.15,2.623,NA,NA,NA,NA,NA,211.1003854,7.787,FALSE
1,7/23/2010,83.36,2.608,NA,NA,NA,NA,NA,211.2351443,7.787,FALSE
1,7/30/2010,81.84,2.64,NA,NA,NA,NA,NA,211.3699032,7.787,FALSE
1,8/6/2010,87.16,2.627,NA,NA,NA,NA,NA,211.5046621,7.787,FALSE
1,8/13/2010,87,2.692,NA,NA,NA,NA,NA,211.6394211,7.787,FALSE
1,8/20/2010,86.65,2.664,NA,NA,NA,NA,NA,211.6033633,7.787,FALSE
1,8/27/2010,85.22,2.619,NA,NA,NA,NA,NA,211.5673056,7.787,FALSE
1,9/3/2010,81.21,2.577,NA,NA,NA,NA,NA,211.5312479,7.787,FALSE
1,9/10/2010,78.69,2.565,NA,NA,NA,NA,NA,211.4951902,7.787,TRUE
1,9/17/2010,82.11,2.582,NA,NA,NA,NA,NA,211.5224596,7.787,FALSE
1,9/24/2010,80.94,2.624,NA,NA,NA,NA,NA,211.5972246,7.787,FALSE
1,10/1/2010,71.89,2.603,NA,NA,NA,NA,NA,211.6719895,7.838,FALSE
1,10/8/2010,63.93,2.633,NA,NA,NA,NA,NA,211.7467544,7.838,FALSE
1,10/15/2010,67.18,2.72,NA,NA,NA,NA,NA,211.8137436,7.838,FALSE
1,10/22/2010,69.86,2.725,NA,NA,NA,NA,NA,211.8612937,7.838,FALSE
1,10/29/2010,69.64,2.716,NA,NA,NA,NA,NA,211.9088438,7.838,FALSE
1,11/5/2010,58.74,2.689,NA,NA,NA,NA,NA,211.9563939,7.838,FALSE
1,11/12/2010,59.61,2.728,NA,NA,NA,NA,NA,212.003944,7.838,FALSE
1,11/19/2010,51.41,2.771,NA,NA,NA,NA,NA,211.8896737,7.838,FALSE
1,11/26/2010,64.52,2.735,NA,NA,NA,NA,NA,211.7484333,7.838,TRUE
1,12/3/2010,49.27,2.708,NA,NA,NA,NA,NA,211.607193,7.838,FALSE
1,12/10/2010,46.33,2.843,NA,NA,NA,NA,NA,211.4659526,7.838,FALSE
1,12/17/2010,49.84,2.869,NA,NA,NA,NA,NA,211.4053124,7.838,FALSE
1,12/24/2010,52.33,2.886,NA,NA,NA,NA,NA,211.4051222,7.838,FALSE
1,12/31/2010,48.43,2.943,NA,NA,NA,NA,NA,211.4049321,7.838,TRUE
1,1/7/2011,48.27,2.976,NA,NA,NA,NA,NA,211.4047419,7.742,FALSE
1,1/14/2011,35.4,2.983,NA,NA,NA,NA,NA,211.4574109,7.742,FALSE
1,1/21/2011,44.04,3.016,NA,NA,NA,NA,NA,211.8272343,7.742,FALSE
1,1/28/2011,43.83,3.01,NA,NA,NA,NA,NA,212.1970577,7.742,FALSE
1,2/4/2011,42.27,2.989,NA,NA,NA,NA,NA,212.5668812,7.742,FALSE
1,2/11/2011,36.39,3.022,NA,NA,NA,NA,NA,212.9367046,7.742,TRUE
1,2/18/2011,57.36,3.045,NA,NA,NA,NA,NA,213.2478853,7.742,FALSE
1,2/25/2011,62.9,3.065,NA,NA,NA,NA,NA,213.535609,7.742,FALSE
1,3/4/2011,59.58,3.288,NA,NA,NA,NA,NA,213.8233327,7.742,FALSE
1,3/11/2011,53.56,3.459,NA,NA,NA,NA,NA,214.1110564,7.742,FALSE
1,3/18/2011,62.76,3.488,NA,NA,NA,NA,NA,214.3627114,7.742,FALSE
1,3/25/2011,69.97,3.473,NA,NA,NA,NA,NA,214.5999389,7.742,FALSE
1,4/1/2011,59.17,3.524,NA,NA,NA,NA,NA,214.8371664,7.682,FALSE
